authors,avg_rating,ratings_count,title
Activity Slayer,4.3,219,"Unicorn Activity Book for Kids Ages 4-8: A Fun Kid Workbook Game For Learning, Coloring, Dot To Dot, Mazes, Word Search and More!"
David Horowitz,4.5,194,DARK AGENDA: The War to Destroy Christian America
Joseph W. Glannon,3.4,10,Civil Procedure: A Coursebook [Connected Casebook] (Aspen Casebook)
Tim Tigner,4.5,837,The Price of Time
J.K. Rowling,4.8,284,Harry Potter: The Illustrated Collection (Books 1-3 Boxed Set)
Erwin Chemerinsky,3.7,33,Constitutional Law [Connected Casebook] (Aspen Casebook)
Ashley Spires,4.6,597,The Most Magnificent Thing
Brighter Child,4.5,1271,"Carson Dellosa - First Words Flash Cards - 54 Cards for Phonics, Sight Words, Letter Recognition, Early Development for Preschool Toddler Ages 4+"
Anthony William,4.6,4065,Medical Medium: Secrets Behind Chronic and Mystery Illness and How to Finally Heal
Sally Lloyd-Jones,4.9,2760,The Jesus Storybook Bible: Every Story Whispers His Name
